City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
82,Mbandaka,CD,2020-02-24 01:25:50,0.05,18.26,75.81,91,100,3.76,overcast clouds
83,Saskylakh,RU,2020-02-24 01:19:28,71.92,114.08,7.02,92,97,9.1,light snow
84,Port Elizabeth,ZA,2020-02-24 01:19:55,-33.92,25.57,53.6,87,19,2.24,few clouds
85,Saint-Philippe,RE,2020-02-24 01:18:43,-21.36,55.77,73.99,73,2,5.82,clear sky
86,San Ramon,US,2020-02-24 01:25:50,37.78,-121.98,64.99,48,1,6.93,clear sky
87,Fort Nelson,CA,2020-02-24 01:20:41,58.81,-122.7,30.2,36,75,3.36,broken clouds
88,Kazerun,IR,2020-02-24 01:25:51,29.62,51.65,60.39,45,83,3.53,broken clouds
89,Kaitangata,NZ,2020-02-24 01:19:00,-46.28,169.85,64.0,63,88,8.01,overcast clouds
90,Kurkino,RU,2020-02-24 01:25:52,53.43,38.66,26.89,90,26,11.7,scattered clouds
91,Bonavista,CA,2020-02-24 01:20:18,48.65,-53.11,28.99,85,10,14.0,clear sky
92,Port Lincoln,AU,2020-02-24 01:25:52,-34.73,135.87,72.68,61,0,5.57,clear sky
93,Nanzhou,CN,2020-02-24 01:25:52,29.36,112.4,60.3,85,99,14.18,overcast clouds
94,Khatanga,RU,2020-02-24 01:19:32,71.97,102.5,17.06,91,99,16.58,light snow
95,Kapaa,US,2020-02-24 01:18:52,22.08,-159.32,80.6,61,40,8.05,scattered clouds
96,Kangaatsiaq,GL,2020-02-24 01:25:53,68.31,-53.46,5.9,91,100,10.27,light snow
97,Walvis Bay,NA,2020-02-24 01:21:28,-22.96,14.51,64.0,93,59,8.05,broken clouds
98,Kieta,PG,2020-02-24 01:25:53,-6.22,155.63,85.66,67,43,5.5,scattered clouds
99,Solok,ID,2020-02-24 01:22:26,-0.79,100.66,70.65,86,0,6.38,clear sky
100,Licata,IT,2020-02-24 01:25:54,37.11,13.95,39.2,86,18,3.36,few clouds
101,San Patricio,MX,2020-02-24 01:19:40,19.22,-104.7,80.6,74,20,9.17,few clouds
102,Bengkulu,ID,2020-02-24 01:20:17,-3.8,102.27,74.48,85,2,5.06,clear sky
103,Norman Wells,CA,2020-02-24 01:19:22,65.28,-126.83,6.8,77,75,4.7,light snow
104,Mount Gambier,AU,2020-02-24 01:25:55,-37.83,140.77,71.6,68,81,5.82,broken clouds
105,Marawi,PH,2020-02-24 01:25:55,8.0,124.29,80.01,79,46,5.01,scattered clouds
106,Henties Bay,NA,2020-02-24 01:20:41,-22.12,14.28,64.0,94,17,5.01,few clouds
107,Victoria,HK,2020-02-24 01:17:25,22.29,114.16,70.0,72,20,23.04,few clouds
108,Tautira,PF,2020-02-24 01:25:56,-17.73,-149.15,86.0,70,40,14.99,scattered clouds
109,Asuncion,PY,2020-02-24 01:24:20,-25.3,-57.64,77.0,47,1,4.7,clear sky
