City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
137,Yarmouth,US,2020-02-24 09:39:47,41.71,-70.23,39.0,82,1,13.69,mist,0.0,0.0
138,Hithadhoo,MV,2020-02-24 09:39:47,-0.6,73.08,83.21,78,11,11.92,light rain,0.88,0.0
139,Qeshm,IR,2020-02-24 09:34:52,26.96,56.27,84.2,51,48,11.41,haze,0.0,0.0
140,Mosquera,CO,2020-02-24 09:39:47,4.71,-74.23,55.4,100,75,2.24,light intensity drizzle,0.0,0.0
141,Qasigiannguit,GL,2020-02-24 09:39:47,68.82,-51.19,3.2,71,97,3.36,overcast clouds,0.0,0.0
142,Klyuchi,RU,2020-02-24 09:39:48,52.27,79.17,21.76,92,99,4.36,overcast clouds,0.0,0.0
143,Katsuura,JP,2020-02-24 09:39:48,35.13,140.3,55.4,58,20,10.29,few clouds,0.0,0.0
144,Bethel,US,2020-02-24 09:39:48,41.37,-73.41,39.99,73,20,3.0,few clouds,0.0,0.0
145,Tigil,RU,2020-02-24 09:39:48,57.8,158.67,0.45,78,88,6.4,overcast clouds,0.0,0.0
146,Trelew,AR,2020-02-24 09:39:48,-43.25,-65.31,64.24,38,100,24.56,overcast clouds,0.0,0.0
147,Souillac,MU,2020-02-24 09:39:49,-20.52,57.52,84.0,74,75,5.82,shower rain,0.0,0.0
148,The Valley,AI,2020-02-24 09:39:49,18.22,-63.06,75.2,83,0,1.12,clear sky,0.0,0.0
149,Vershino-Darasunskiy,RU,2020-02-24 09:39:49,52.35,115.52,17.1,65,0,1.77,clear sky,0.0,0.0
150,Bangolo,CI,2020-02-24 09:39:49,7.01,-7.47,81.86,71,88,3.83,overcast clouds,0.0,0.0
151,Hasaki,JP,2020-02-24 09:39:49,35.73,140.83,51.8,61,20,6.93,few clouds,0.0,0.0
152,Bengkulu,ID,2020-02-24 09:39:50,-3.8,102.27,85.5,74,55,5.84,light rain,0.5,0.0
153,Pamanukan,ID,2020-02-24 09:39:50,-6.28,107.81,86.85,67,0,13.6,light rain,1.44,0.0
