City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Espanola,US,2020-02-22 21:27:49,35.99,-106.08,46.99,65,90,3.36
122,Puerto Ayora,EC,2020-02-22 21:26:15,-0.74,-90.35,82.4,78,40,9.17
123,Chuy,UY,2020-02-22 21:27:49,-33.7,-53.46,67.87,62,31,11.77
124,Te Anau,NZ,2020-02-22 21:27:50,-45.42,167.72,51.8,74,60,2.51
125,Fortuna,US,2020-02-22 21:27:50,40.6,-124.16,61.0,81,90,6.93
126,Igarka,RU,2020-02-22 21:27:47,67.47,86.58,5.23,88,100,13.76
127,Bambous Virieux,MU,2020-02-22 21:25:13,-20.34,57.76,77.0,88,75,3.36
128,Brae,GB,2020-02-22 21:27:50,60.4,-1.35,41.0,80,68,19.46
129,Mecca,SA,2020-02-22 21:27:51,21.43,39.83,69.26,49,0,2.19
130,Yerbogachen,RU,2020-02-22 21:24:48,61.28,108.01,10.27,96,85,4.85
131,Kavieng,PG,2020-02-22 21:26:58,-2.57,150.8,83.43,73,13,5.53
132,Port Augusta,AU,2020-02-22 21:27:51,-32.5,137.77,66.0,87,0,6.93
133,Gondar,ET,2020-02-22 21:27:51,12.6,37.47,61.56,33,0,6.46
134,Bluff,NZ,2020-02-22 21:27:52,-46.6,168.33,59.0,79,68,17.0
135,Sao Joao Da Barra,BR,2020-02-22 21:27:52,-21.64,-41.05,75.2,78,75,20.8
136,Saquena,PE,2020-02-22 21:27:52,-4.67,-73.52,90.01,59,100,1.5
137,Camacha,PT,2020-02-22 21:27:52,33.08,-16.33,64.4,88,40,27.51
138,Tucuman,AR,2020-02-22 21:27:53,-26.82,-65.22,71.6,64,75,6.93
139,Alofi,NU,2020-02-22 21:27:01,-19.06,-169.92,80.22,88,44,10.51
140,Leshukonskoye,RU,2020-02-22 21:27:53,64.9,45.76,33.04,82,100,16.71
141,Roald,NO,2020-02-22 21:27:53,62.58,6.13,39.2,93,75,33.33
142,Hermanus,ZA,2020-02-22 21:27:54,-34.42,19.23,66.99,91,89,1.01
143,Ilulissat,GL,2020-02-22 21:27:54,69.22,-51.1,-0.4,54,20,5.82
144,Ambilobe,MG,2020-02-22 21:27:54,-13.2,49.05,75.58,92,100,5.12
145,Goderich,CA,2020-02-22 21:27:54,43.75,-81.72,39.0,72,0,11.01
146,Olafsvik,IS,2020-02-22 21:27:54,64.89,-23.71,28.99,70,100,5.37
147,Genhe,CN,2020-02-22 21:27:55,50.78,121.52,-0.87,99,100,2.68
148,Cabo San Lucas,MX,2020-02-22 21:23:09,22.89,-109.91,84.2,35,40,9.17
149,Egvekinot,RU,2020-02-22 21:23:51,66.32,-179.17,-30.23,100,95,1.54
150,Severo-Kurilsk,RU,2020-02-22 21:27:55,50.68,156.12,7.7,89,31,0.74
151,Kodiak,US,2020-02-22 21:23:58,57.79,-152.41,21.2,53,1,10.29
152,Isilkul,RU,2020-02-22 21:27:56,54.91,71.27,20.61,96,80,6.11
153,Bulgan,MN,2020-02-22 21:27:56,48.81,103.53,15.71,70,88,3.87
154,Tomatlan,MX,2020-02-22 21:27:56,19.93,-105.25,93.7,30,68,6.82
155,Akdepe,TM,2020-02-22 21:26:06,42.06,59.38,42.8,87,90,4.7
156,Havoysund,NO,2020-02-22 21:27:56,71.0,24.66,32.0,70,84,13.87
157,Yulara,AU,2020-02-22 21:27:57,-25.24,130.99,68.0,24,0,9.17
158,Mildura,AU,2020-02-22 21:27:07,-34.2,142.15,60.8,48,0,5.82
159,Victoria,HK,2020-02-22 21:25:08,22.29,114.16,64.99,77,20,20.8
160,Hudson Bay,CA,2020-02-22 21:27:57,52.85,-102.38,35.92,92,67,5.32
161,Arraial Do Cabo,BR,2020-02-22 21:27:57,-22.97,-42.03,77.0,88,75,13.87
162,Chokurdakh,RU,2020-02-22 21:27:57,70.63,147.92,-13.88,97,100,1.48
163,Mgandu,TZ,2020-02-22 21:27:58,-5.95,34.13,64.53,94,100,4.5
164,Pandan,PH,2020-02-22 21:27:58,14.05,124.17,78.1,81,6,17.6
165,Abnub,EG,2020-02-22 21:27:59,27.27,31.15,53.6,62,0,9.17
166,Maniitsoq,GL,2020-02-22 21:27:59,65.42,-52.9,10.0,82,100,11.43
167,Lebedinyy,RU,2020-02-22 21:28:00,58.52,125.52,7.88,95,100,5.61
168,Amalapuram,IN,2020-02-22 21:28:00,16.58,82.02,67.64,89,0,2.75
169,Grand Gaube,MU,2020-02-22 21:28:00,-20.01,57.66,77.0,88,75,3.36
170,Caramoan,PH,2020-02-22 21:23:06,13.77,123.86,78.1,81,6,17.6
171,Buta,CD,2020-02-22 21:28:00,2.79,24.73,82.18,35,95,3.0
172,Itarema,BR,2020-02-22 21:28:01,-2.92,-39.92,74.1,96,100,6.11
173,Northam,GB,2020-02-22 21:25:00,51.03,-4.22,50.0,76,20,10.29
174,Akhtubinsk,RU,2020-02-22 21:28:01,48.28,46.17,31.84,84,94,8.39
175,Tautira,PF,2020-02-22 21:24:39,-17.73,-149.15,87.8,70,40,13.87
176,Amsterdam,NL,2020-02-22 21:26:01,52.37,4.89,51.01,81,40,16.11
177,Awjilah,LY,2020-02-22 21:28:02,29.11,21.29,55.53,59,0,13.44
178,Eureka,US,2020-02-22 21:28:02,40.8,-124.16,55.0,76,75,6.93
179,Buala,SB,2020-02-22 21:24:06,-8.14,159.59,81.03,80,2,3.71
180,Mahebourg,MU,2020-02-22 21:28:02,-20.41,57.7,77.0,88,75,3.36
181,Half Moon Bay,US,2020-02-22 21:28:03,37.46,-122.43,69.8,62,40,16.11
182,Lerwick,GB,2020-02-22 21:25:55,60.15,-1.15,41.0,80,76,24.16
183,Orcopampa,PE,2020-02-22 21:23:04,-15.27,-72.34,41.45,94,99,8.95
184,Conde,BR,2020-02-22 21:27:23,-7.26,-34.91,82.4,83,20,9.17
185,Yellowknife,CA,2020-02-22 21:28:03,62.46,-114.35,5.0,60,20,6.93
186,Faanui,PF,2020-02-22 21:26:20,-16.48,-151.75,82.04,74,49,9.24
187,Pirgos,GR,2020-02-22 21:28:04,35.12,25.72,53.6,62,75,16.11
188,Haines Junction,CA,2020-02-22 21:24:02,60.75,-137.51,12.29,93,99,6.06
189,Moerai,PF,2020-02-22 21:28:04,-22.43,-151.33,80.65,69,100,7.9
190,Lasa,IT,2020-02-22 21:27:56,46.62,10.7,41.0,69,5,5.82
191,Norman Wells,CA,2020-02-22 21:26:39,65.28,-126.83,6.8,77,75,5.82
192,Aripuana,BR,2020-02-22 21:28:05,-9.17,-60.63,80.94,80,100,1.61
193,Nome,US,2020-02-22 21:24:17,64.5,-165.41,-16.6,82,1,3.24
194,Sisimiut,GL,2020-02-22 21:24:40,66.94,-53.67,-3.98,81,100,5.12
195,Utete,TZ,2020-02-22 21:28:06,-7.99,38.76,76.06,94,100,0.65
196,Coahuayana,MX,2020-02-22 21:27:35,18.73,-103.68,86.0,48,40,11.41
197,Takoradi,GH,2020-02-22 21:28:06,4.88,-1.76,79.57,89,78,5.95
198,Lata,PT,2020-02-22 21:25:13,40.16,-8.33,59.0,93,0,3.36
199,Devils Lake,US,2020-02-22 21:28:07,48.11,-98.87,35.6,74,1,8.05
200,Carballo,ES,2020-02-22 21:28:07,43.21,-8.69,52.0,100,0,1.12
201,Bengkulu,ID,2020-02-22 21:27:22,-3.8,102.27,73.42,89,2,4.56
202,Hobart,AU,2020-02-22 21:26:23,-42.88,147.33,53.6,76,20,6.93
