City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
83,Puerto Ayora,EC,2020-02-24 08:39:55,-0.74,-90.35,77.0,100,74,1.01,broken clouds,0.0,0.0
84,Karratha,AU,2020-02-24 08:38:03,-20.74,116.85,85.08,71,29,12.57,scattered clouds,0.0,0.0
85,East London,ZA,2020-02-24 08:39:56,-33.02,27.91,71.6,53,20,3.36,few clouds,0.0,0.0
86,Oksfjord,NO,2020-02-24 08:39:56,70.24,22.35,32.0,80,75,17.22,light snow,0.0,0.0
87,Dingle,PH,2020-02-24 08:39:56,11.0,122.67,81.48,71,9,8.93,light rain,0.13,0.0
88,Thompson,CA,2020-02-24 08:39:56,55.74,-97.86,3.2,77,75,9.17,light snow,0.0,0.0
89,Heihe,CN,2020-02-24 08:39:56,50.24,127.49,21.2,62,20,8.95,few clouds,0.0,0.0
90,Mana,GF,2020-02-24 08:39:57,5.66,-53.78,74.59,92,100,2.93,light rain,0.19,0.0
91,Atuona,PF,2020-02-24 08:39:57,-9.8,-139.03,80.94,81,15,13.94,few clouds,0.0,0.0
92,Koindu,GN,2020-02-24 08:39:57,8.44,-10.33,80.74,63,58,1.54,broken clouds,0.0,0.0
93,Santa Comba,ES,2020-02-24 08:39:57,43.03,-8.81,48.0,93,0,4.7,fog,0.0,0.0
94,Maniitsoq,GL,2020-02-24 08:39:57,65.42,-52.9,10.42,73,46,9.31,scattered clouds,0.0,0.0
95,Cherskiy,RU,2020-02-24 08:39:58,68.75,161.3,-26.64,89,15,3.69,few clouds,0.0,0.0
96,Butaritari,KI,2020-02-24 08:39:58,3.07,172.79,83.95,81,100,27.69,heavy intensity rain,12.19,0.0
97,Neiafu,TO,2020-02-24 08:39:58,-18.65,-173.98,82.26,83,3,7.47,clear sky,0.0,0.0
98,Zhigansk,RU,2020-02-24 08:39:58,66.77,123.37,-2.81,95,100,15.03,overcast clouds,0.0,0.0
99,Longyearbyen,SJ,2020-02-24 08:39:58,78.22,15.64,-2.2,77,20,4.7,few clouds,0.0,0.0
100,Taksimo,RU,2020-02-24 08:39:59,56.34,114.88,11.7,91,38,1.72,scattered clouds,0.0,0.0
101,Saint-Ambroise,CA,2020-02-24 08:39:59,48.55,-71.33,30.2,92,40,2.24,scattered clouds,0.0,0.0
102,Ahipara,NZ,2020-02-24 08:39:59,-35.17,173.17,66.6,75,0,10.74,clear sky,0.0,0.0
103,Kilindoni,TZ,2020-02-24 08:39:59,-7.91,39.67,85.03,78,88,15.48,light rain,0.13,0.0
104,Khasan,RU,2020-02-24 08:39:59,42.43,130.64,32.74,50,0,9.84,clear sky,0.0,0.0
105,Ribeira Brava,PT,2020-02-24 08:40:00,32.65,-17.07,62.6,77,75,21.92,broken clouds,0.0,0.0
106,Chapleau,CA,2020-02-24 08:40:00,47.84,-83.4,29.59,91,86,11.59,overcast clouds,0.0,0.0
107,Weinan,CN,2020-02-24 08:40:00,34.5,109.51,69.8,30,49,11.18,scattered clouds,0.0,0.0
108,Nikolskoye,RU,2020-02-24 08:40:00,59.7,30.79,37.99,83,90,13.42,light intensity shower rain,0.0,0.0
109,Lavrentiya,RU,2020-02-24 08:40:00,65.58,-171.0,-9.4,71,0,1.28,clear sky,0.0,0.0
110,Oak Ridge,US,2020-02-24 08:39:56,36.01,-84.27,46.4,61,90,1.99,light rain,0.0,0.0
111,Gamba,GA,2020-02-24 08:40:01,-2.65,10.0,80.4,85,100,3.53,overcast clouds,0.0,0.0
112,Souillac,MU,2020-02-24 08:40:01,-20.52,57.52,84.2,70,40,6.93,scattered clouds,0.0,0.0
113,Taltal,CL,2020-02-24 08:40:01,-25.4,-70.48,58.95,93,69,1.59,broken clouds,0.0,0.0
114,Padang,ID,2020-02-24 08:40:01,-0.95,100.35,84.24,59,55,2.42,broken clouds,0.0,0.0
115,Zdounky,CZ,2020-02-24 08:40:02,49.23,17.32,44.01,56,75,2.24,broken clouds,0.0,0.0
116,Bambous Virieux,MU,2020-02-24 08:40:02,-20.34,57.76,84.2,70,40,6.93,scattered clouds,0.0,0.0
117,Prince Albert,CA,2020-02-24 08:36:14,53.2,-105.77,1.4,84,5,4.59,clear sky,0.0,0.0
118,Araripina,BR,2020-02-24 08:40:02,-7.58,-40.5,67.71,94,75,4.59,broken clouds,0.0,0.0
119,Taybad,IR,2020-02-24 08:40:02,34.74,60.78,67.17,28,59,12.35,broken clouds,0.0,0.0
120,Majene,ID,2020-02-24 08:40:03,-3.54,118.97,84.58,73,59,2.17,light rain,0.63,0.0
121,Salalah,OM,2020-02-24 08:40:03,17.02,54.09,80.6,61,10,9.17,clear sky,0.0,0.0
122,Naze,JP,2020-02-24 08:40:03,28.37,129.48,66.2,59,20,4.7,few clouds,0.0,0.0
123,Namibe,AO,2020-02-24 08:40:03,-15.2,12.15,73.26,79,100,7.31,overcast clouds,0.0,0.0
124,Kaeo,NZ,2020-02-24 08:40:03,-35.1,173.78,67.89,72,0,12.59,clear sky,0.0,0.0
